id,team,player,MIN,FGM-A,3PM-A,FTM-A,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
400488879,Boston Celtics,Brandon Bass,32,6-7,0-0,5-5,1,1,2,2,2,0,1,2,12,17
400488879,Boston Celtics,Gerald Wallace,40,1-1,0-0,1-4,0,3,3,2,4,0,5,2,-1,3
400488879,Boston Celtics,Jeff Green,37,8-16,2-3,7-9,0,5,5,2,1,1,1,4,8,25
400488879,Boston Celtics,Vitor Faverani,27,4-9,0-1,5-8,1,2,3,0,0,3,3,5,-17,13
400488879,Boston Celtics,Avery Bradley,31,4-13,0-3,0-0,1,4,5,4,2,1,4,6,-3,8
400488879,Boston Celtics,Kris Humphries,21,3-4,0-0,2-3,2,7,9,0,0,2,2,2,12,8
400488879,Boston Celtics,Kelly Olynyk,16,2-5,0-2,0-0,0,0,0,0,0,0,3,2,-19,4
400488879,Boston Celtics,Phil Pressey,4,0-2,0-1,0-0,0,1,1,0,0,0,0,2,-4,0
400488879,Boston Celtics,Jordan Crawford,18,3-5,1-1,0-0,2,1,3,5,0,0,1,2,-2,7
400488879,Boston Celtics,Courtney Lee,14,1-4,0-2,0-0,0,2,2,0,1,0,2,0,-16,2
400488879,Boston Celtics,Jared Sullinger,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0
400488879,Boston Celtics,MarShon Brooks,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0
400488879,Boston Celtics,Keith Bogans,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0
400488879,Toronto Raptors,Amir Johnson,24,6-8,1-3,0-0,2,1,3,2,0,1,0,4,10,13
400488879,Toronto Raptors,Rudy Gay,34,8-18,1-2,2-3,2,6,8,1,2,0,5,3,-1,19
400488879,Toronto Raptors,Jonas Valanciunas,31,4-9,0-0,0-0,5,6,11,0,1,2,3,4,5,8
400488879,Toronto Raptors,Kyle Lowry,35,2-8,0-3,7-12,2,1,3,8,2,0,2,2,2,11
400488879,Toronto Raptors,DeMar DeRozan,40,6-19,1-3,0-2,0,2,2,2,2,0,5,3,6,13
400488879,Toronto Raptors,Tyler Hansbrough,25,3-4,0-0,1-2,5,7,12,0,0,3,0,1,-3,7
400488879,Toronto Raptors,Landry Fields,18,4-7,0-0,0-1,3,3,6,0,0,0,0,4,2,8
400488879,Toronto Raptors,Terrence Ross,12,2-3,1-1,1-2,0,2,2,0,2,0,1,2,1,6
400488879,Toronto Raptors,Steve Novak,7,1-3,1-2,0-0,0,1,1,0,0,0,0,1,4,3
400488879,Toronto Raptors,D.J. Augustin,13,2-7,0-3,1-1,0,0,0,2,0,0,1,1,4,5
400488879,Toronto Raptors,Austin Daye,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0
400488879,Toronto Raptors,Dwight Buycks,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0
400488879,Toronto Raptors,Julyan Stone,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0
400488897,Milwaukee Bucks,Ersan Ilyasova,23,2-7,1-3,0-0,0,4,4,1,2,1,1,3,-21,5
400488897,Milwaukee Bucks,Caron Butler,27,2-8,2-4,2-2,2,4,6,1,1,0,0,1,-3,8
400488897,Milwaukee Bucks,Larry Sanders,18,2-5,0-0,0-0,1,2,3,1,0,4,1,2,-18,4
400488897,Milwaukee Bucks,O.J. Mayo,23,2-9,0-1,4-4,2,2,4,2,2,0,3,4,-16,8
400488897,Milwaukee Bucks,Gary Neal,26,4-11,2-3,4-6,0,1,1,1,1,0,1,0,-17,14
400488897,Milwaukee Bucks,Khris Middleton,27,5-8,0-1,3-3,0,1,1,2,2,0,0,4,23,13
400488897,Milwaukee Bucks,Zaza Pachulia,30,5-10,0-0,10-10,6,3,9,4,2,1,0,4,25,20
400488897,Milwaukee Bucks,John Henson,25,6-11,0-0,2-4,5,4,9,0,0,1,0,2,28,14
400488897,Milwaukee Bucks,Nate Wolters,29,5-10,1-2,3-3,1,1,2,6,0,0,1,1,23,14
400488897,Milwaukee Bucks,Giannis Antetokounmpo,12,2-5,0-1,1-2,0,2,2,0,0,0,0,3,11,5
400488897,Milwaukee Bucks,Miroslav Raduljica,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0
400488897,Milwaukee Bucks,Luke Ridnour,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0
400488897,Milwaukee Bucks,Brandon Knight,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0
400488897,Boston Celtics,Brandon Bass,35,6-11,0-0,5-6,3,5,8,2,0,1,0,3,11,17
400488897,Boston Celtics,Gerald Wallace,36,5-9,2-5,2-7,0,6,6,4,1,0,4,2,0,14
400488897,Boston Celtics,Jeff Green,38,4-13,1-3,4-7,4,5,9,1,0,0,4,3,-1,13
400488897,Boston Celtics,Vitor Faverani,37,4-6,0-1,4-6,6,12,18,1,1,6,3,4,1,12
400488897,Boston Celtics,Avery Bradley,33,4-14,0-3,0-0,0,2,2,2,1,0,4,6,9,8
400488897,Boston Celtics,Jared Sullinger,10,2-6,0-0,6-7,3,0,3,0,0,0,1,4,-11,10
400488897,Boston Celtics,Kelly Olynyk,14,2-5,0-1,0-0,2,0,2,1,0,0,1,4,-15,4
400488897,Boston Celtics,Jordan Crawford,12,1-1,0-0,5-5,0,0,0,1,0,0,0,0,-9,7
400488897,Boston Celtics,Courtney Lee,26,6-11,1-3,0-0,0,4,4,1,2,0,0,3,-20,13
400488897,Boston Celtics,Kris Humphries,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0
400488897,Boston Celtics,Phil Pressey,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0
400488897,Boston Celtics,MarShon Brooks,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0
400488897,Boston Celtics,Keith Bogans,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0
400488914,Boston Celtics,Brandon Bass,37,2-8,0-0,2-2,1,7,8,3,2,1,2,5,-8,6
400488914,Boston Celtics,Gerald Wallace,36,2-6,1-3,0-0,0,1,1,2,4,0,2,2,-6,5
400488914,Boston Celtics,Jeff Green,20,3-5,0-0,1-1,0,2,2,2,0,0,2,2,-8,7
400488914,Boston Celtics,Vitor Faverani,19,4-6,0-1,0-0,1,1,2,1,2,1,2,2,-7,8
400488914,Boston Celtics,Avery Bradley,34,6-14,1-2,0-0,4,4,8,3,3,0,6,2,-15,13
400488914,Boston Celtics,Jared Sullinger,14,1-6,0-2,2-2,0,4,4,0,0,1,0,1,-2,4
400488914,Boston Celtics,Kelly Olynyk,26,6-11,0-1,3-3,2,6,8,0,2,0,3,5,-3,15
400488914,Boston Celtics,Jordan Crawford,22,5-10,1-4,2-2,0,3,3,1,1,0,3,0,3,13
400488914,Boston Celtics,MarShon Brooks,7,0-2,0-0,0-0,0,0,0,1,0,0,0,0,6,0
400488914,Boston Celtics,Courtney Lee,22,2-5,0-2,2-2,0,1,1,2,1,0,3,3,-5,6
400488914,Boston Celtics,Keith Bogans,3,0-1,0-1,0-0,0,0,0,0,0,0,0,0,-5,0
400488914,Boston Celtics,Kris Humphries,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0
400488914,Boston Celtics,Phil Pressey,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0
400488914,Detroit Pistons,Greg Monroe,37,7-14,0-0,1-4,7,3,10,2,1,1,4,3,10,15
400488914,Detroit Pistons,Josh Smith,36,7-15,0-4,1-3,1,6,7,3,2,2,6,2,9,15
400488914,Detroit Pistons,Andre Drummond,40,7-13,0-0,1-4,3,9,12,0,2,2,1,2,9,15
400488914,Detroit Pistons,Chauncey Billups,21,2-4,1-3,0-0,0,4,4,2,2,0,2,2,10,5
400488914,Detroit Pistons,Will Bynum,17,2-5,0-2,0-0,1,0,1,4,1,0,1,2,14,4
400488914,Detroit Pistons,Jonas Jerebko,11,1-2,0-0,0-0,1,3,4,1,0,0,3,1,0,2
400488914,Detroit Pistons,Kyle Singler,21,2-6,0-1,3-3,0,0,0,0,0,1,0,0,2,7
400488914,Detroit Pistons,Rodney Stuckey,27,1-5,0-1,8-9,1,2,3,0,3,1,2,3,0,10
400488914,Detroit Pistons,Brandon Jennings,31,5-12,1-2,3-6,1,2,3,4,4,0,2,0,-4,14
400488914,Detroit Pistons,Tony Mitchell,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0
400488914,Detroit Pistons,Luigi Datome,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0
400488914,Detroit Pistons,Peyton Siva,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0
400488914,Detroit Pistons,Kentavious Caldwell-Pope,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0
400488922,Boston Celtics,Brandon Bass,23,3-11,0-1,0-0,1,3,4,1,1,3,1,2,-14,6
400488922,Boston Celtics,Gerald Wallace,28,0-0,0-0,0-0,0,3,3,3,2,0,3,2,-11,0
400488922,Boston Celtics,Jeff Green,40,6-12,1-4,9-12,0,5,5,1,0,1,2,2,-13,22
400488922,Boston Celtics,Vitor Faverani,28,2-4,1-3,0-0,2,4,6,0,1,1,3,4,-19,5
400488922,Boston Celtics,Avery Bradley,32,6-12,0-2,2-2,0,0,0,3,1,0,1,3,-13,14
400488922,Boston Celtics,Jared Sullinger,21,7-11,2-3,0-0,1,4,5,0,0,0,0,4,12,16
400488922,Boston Celtics,Kelly Olynyk,25,1-8,0-1,2-2,0,4,4,0,0,0,4,3,7,4
400488922,Boston Celtics,Jordan Crawford,25,4-7,2-4,2-2,0,2,2,4,3,1,1,1,-1,12
400488922,Boston Celtics,Courtney Lee,19,4-5,1-2,0-0,0,3,3,2,1,0,2,0,17,9
400488922,Boston Celtics,Kris Humphries,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0
400488922,Boston Celtics,Phil Pressey,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0
400488922,Boston Celtics,MarShon Brooks,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0
400488922,Boston Celtics,Keith Bogans,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0
400488922,Memphis Grizzlies,Zach Randolph,32,6-11,0-0,3-3,4,3,7,1,0,0,5,3,17,15
400488922,Memphis Grizzlies,Tayshaun Prince,20,2-4,0-0,0-0,1,2,3,3,0,0,1,0,7,4
400488922,Memphis Grizzlies,Marc Gasol,35,6-10,0-0,2-2,0,8,8,2,0,0,1,3,5,14
400488922,Memphis Grizzlies,Mike Conley,33,5-14,1-3,4-4,0,2,2,8,0,0,2,2,7,15
400488922,Memphis Grizzlies,Tony Allen,30,3-5,0-2,2-4,1,3,4,3,4,0,4,2,17,8
400488922,Memphis Grizzlies,Ed Davis,8,2-6,0-0,0-0,2,1,3,0,0,0,2,2,-13,4
400488922,Memphis Grizzlies,Jon Leuer,7,1-2,0-1,2-2,0,0,0,1,0,0,0,1,4,4
400488922,Memphis Grizzlies,Quincy Pondexter,19,2-6,2-3,2-2,0,1,1,0,0,0,2,2,-14,8
400488922,Memphis Grizzlies,Mike Miller,23,2-4,1-3,0-0,1,4,5,2,0,0,1,1,-1,5
